sentence,classify
 Countries like Egypt and the Federated States of Micronesia received only half of the funding  originally scheduled by development partners while the Dominican Republic and Nepal received well above  the scheduled funding,SDG4
      3c Crosscutting issue and 2016 thematic focus area – leave no one behind   “Leave no one behind“– this principle runs through the entire 2030 Agenda,SDG4
 In this regard statistics shall serve as bases in designing policies and programs as   well as in monitoring the progress of the SDGs,SDG8
   Since its adoption the NSSD has been revised in the evaluation process in its part   containing the Action Plan when a number of goals measures and related   indicators were revised which was done in accordance with the reports on   implementation and progress made by other programmes and also in accordance   with their results that had been achieved in Montenegro in the meantime,SDG12
  Inclusive and sustainable economic growth and a rights based approach are the two axes through which Belgium   intends to fight poverty everywhere and in all its forms,SDG9
3    Reduce environment impacts to minimum and improve economic effects of   the exploitation of mineral resources SDG 8 8,SDG12
    27  In its territorially focused river basin management plans   the region also integrates the flooding response – a unique   feature in the European context,SDG4
60 of the population   consumes alcohol whereas 0,SDG11
 The economic values   of the conservation areas are implemented through fishing activities cultivation   marine tourism research and education,SDG15
   In the framework of the safeguard of the intangible heritage the United Nations Organization for Education   Science and Culture UNESCO Representative List of the Intangible Cultural Heritage of Humanity was   established in 2008 by UNESCO as a repository of cultural diversity and creative expressions and practices that   help to demonstrate the diversity and cultural heritage and to raise awareness of its importance The active   engagement of Portugal with the initiative resulted in the inclusion of Fado urban popular song of Portugal   2011 the Mediterranean diet 2013 the Cante Alentejano polyphonic singing from Alentejo southern   Portugal 2014 and Falconry a living human heritage 2016 in that list,SDG4
 Maintain the genetic diversity of species and share the benefits arising from their utilisation  ,SDG3
 In this report we have  examined the correlation between the 7th FYP and the 2030 Agenda with particular focus on  the 7 Goals being considered under VNR 2017,SDG17
  This will ensure the operationalization of the data collection and   the appropriation of corresponding budget,SDG17
   The Confederation is also committed to actively  engage in the Highlevel Political Forum on Sustainable Development HLPF alongside all other  countries and all relevant stakeholder representatives,SDG12
   142 measures cover different sectors of activity such   as agriculture and forestry industry energy transport   and the residential and tertiary sector,SDG2
 Also it provides for the development and implementation of Plans for   the Rationalization of Energy Use covering minimum energy efficiency targets,SDG12
  This material will be pilot tested during 20172018,SDG4
   In line with the 2030 Agenda the 2020 Sustainable Cities Strategy for sustainable urban development seeks to   advance and answer the needs for urban territory planning and take action to strengthen and consolidate the   prospects and vision of territorial development,SDG4
 Transparency and accountability for effective development  isbn 978‑92‑64‑26569‑1 43 2016 11 1 P  M aking   D evelo  p m  ent C o  ‑o p  eratio n M  o re E  ffective   2016 P r  o g  r E  s s   r E  P o  r t  2016  9HSTCQEcgfgjb      Making Development  Co‑operation More   Effective  2016 PROGRESS REPORT    This work is published on the responsibility of the SecretaryGeneral of the OECD,SDG11
 The donor community provided support to the tune of 800 million  in 2016 somewhat easing the tight fiscal situation in the country,SDG11
 Reaching the ambitious national target of 95 by 2020 requires systematic efforts from  all stakeholders as well as a more coherent education policy focusing on encouraging and  motivating families to enroll their younger children at kindergartens,SDG3
 Before the launch of the SDGs   in September 2015 Egypt committed itself to achieving sustainable development in the   Egyptian constitution,SDG14
 In addition the project contributed to  the creation of an academic and scientific platform for creating a centre for environmental data,SDG16
 The poverty reduction strate gy of the Walloon region 1 includes a series of measures aimed   at the provision of access to housing as well as improvements   in terms of housing quality and energy efficiency 11,SDG11
  10  Ministry of Industry Foreign Trade and Services,SDG6
  With its engagement in international processes  geared towards specific sectors including multilateral conventions bilateral agreements as well as  regional and global UN programmes Switzerland  contributes to the advancement of sustainable development in all its dimensions,SDG8
 This MSc program   aims to create a whole new generation of business and social entrepreneurs with the skills will   allow them to start up green businesses launch innovative ventures and products and put in   place public policy and social entrepreneurship innovations that together address society’s   environmental and natural resource challenges,SDG4
 Thus for   Indonesia implementing SDGs means implementing national development to   contribute to the achievement of SDGs globally,SDG14
    Social protection was a major sector for Egypt’s Government expenditure constituting some   2530 percent of the total amount,SDG4
    At the sub national level there are a number of innovative initiatives to address health at the  community level,SDG2
  incorporating sDG into national frameworks Mapping the SDGs to the Eleventh Malaysia Plan Between November 2016 and February 2017 Malaysia   undertook an extensive mapping exercise to align the   11MP strategies action plans initiatives and outcomes   with the SDG goals targets and indicators,SDG4
 Finnish development  policy and development cooperation has a strong basis and preparedness in  this regard,SDG2
 Updated every five years the Third Plan is inheriting the ROK’s  longtime commitment to sustainable development and setting a basic platform to implement  the international consensus on sustainable development,SDG12
 Some efforts to overcome challenges are made by   developing SOPs incorporating SSTC activities as one thematic budgets and   encourage partnerships with various stakeholders to improve financial   resources,SDG17
 2    N um  be r o  f c ou  nt rie  s  w  ith    la w  s  an  d  re  gu la  tio ns   th at    gu  ar an  te e   w om  en  a  ge d   15 4  9  ye  ar s   ac ce  ss  to   s ex  ua l a  nd    re pr  od uc  tiv e   he al  th  c  ar e    in  fo rm  at io  n  an  d  ed  uc at  io n   G lo  ba l   In di  ca to  r          In cr  ea se   th e   pe rc  en ta  ge  o  f  w  om en   a cc  es si  ng  e  co no  m ic    em  po w  er m  en t i  ni tia  tiv es    fr  om  1  2  pe  rc en  t i n   20 09  1 0   to  3  0  pe  rc en  t b y   20 19  2 0                                                                                          Im pr  ov e   eq ui  ty  in   a cc  es s t  o  la  nd  l  iv el  ih oo  d  op  po rt  un iti  es  a  nd  te  nu re    se  cu rit  y  of   v ul  ne ra  bl e   gr ou  ps ,SDG17
  Those   achievements are due to innovation in gender mainstreaming through Gender   Responsive Planning and Budgeting PPRG harmonization of regulations   regarding child age capacity building for female representation from political   party female parliament members and selected female head of regions,SDG5
   We extend our sincere thanks to all of the participating countries institutions and individuals for their   engagement in this collective effort,SDG2
 Improved coordination and stakeholders’ participation   ,SDG7
 This approach had the  advantage that the data were readily available and no significant new data collections needed  to be introduced or methodologically developed,SDG4
 It also pays particular emphasis in promoting understanding  dialogue and compromise between the UN member states within the 2nd Committee,SDG8
5 Emerging issues of importance   Problems weaknesses and shortcomings of sustainable development governance   system    As it has been stated following a detailed assessment of the current condition and   the determined key problems and shortcomings of Montenegrin sustainable   development determined challenges in the context of the translation of the SDGs   and sustainable development targets into the national context and following the   requirements stated during the public consultation process and the consultative   process and the NSSD as well as in accordance with the assessments resulted from   the consultations with relevant international entities as it has been previously   stated for enabling efficient implementation of the NSSD the following priority   sustainable development topics have been determined for Montenegro until 2030   improvement of the condition of human resources and strengthening social   inclusion support to values norms and patterns of behaviour of importance for   the sustainability of society preservation of natural capital introduction of green   economy sustainable development governance funding for sustainable   development,SDG4
                                             1      Voluntary National Review at the 2016 HighLevel Political Forum    On the Sustainable Development Goals SDGs   PHILIPPINES        1,SDG1
 In the  past many cantons and communes have already  used the Federal Council’s Sustainable Development Strategy as a reference framework for their  own activities,SDG17
 A carbon price is also necessary to stimulate the   development of climatefriendly technology,SDG7
    Ethnic minorities and tribal communities constitute an important part of our society and  culture,SDG8
4 Substantially increase the number of youth and adults having relevant tecvoc skills   4,SDG12
     The Government developed the National Solid Waste Management Strategy in 2015 as part of  the efforts to promote environmental sustainability in our cities and other urban settlements,SDG6
 In addition publicly released CPIA scores have a negative bias as CPIA scores  are confidential for the countries with greater development success,SDG5
 The main objective is to constitute a social structure that respects all religious beliefs and life styles as a fundamental principle that is convenient for individuals and different segments of society to express themselves freely through a pluralist perspective of liberal democracy,SDG4
 It  was adopted by the National Assembly in August 2015 Peace structures have been set up at all  levels within government and communities to coordinate peace building and conflict  management initiatives develop and implement intervention strategies Engagement with the  political leadership has been sustained to seek their support in the peace agenda Both national  and sub national governments are supporting the implementation of the KNAP on UNSCR  1325 on Women Peace building and Security through engendering peace processes,SDG2
  Source Scientific Institute of Public Health 2014 Drieskens  S,SDG14
  Seventytwo per cent of development partners assessed for transparency achieved a “good”  score in their reporting to at least one of the three international databases on development  cooperation finance 39 achieved “excellent” in their reporting to one or more systems,SDG8
 It produces 165   thousand tons of crude palm kernel oil and 206 thousand tons oleochemicals   products such as fatty acid surfactant glycerin as well as soap noodle a   key material to produce soap shampoo and detergent,SDG4
40 of children at the secondary level consume alcohol,SDG12
1  Maternal Mortality rate – 32 per  100000 live birth 2015   NCDCP H   Ministry  of   Labour  Health   and Social  Affairs   3,SDG11
 Longterm vision documents and national development plans include countries’  key development priorities targets and results indicators  Number of countries  Public ,SDG15
    © OECD UNDP 2016 MAKING DEVELOPMENT COOPERATION MORE EFFECTIVE 2016 PROGRESS REPORT  CHAPTER 1 Overview of the 2016 Global Partnership monitoring round 22  There remain however constraints for meaningful engagement on the organisational side current structures  and institutional mechanisms for engagement and dialogue with CSOs and the private sector often lack  the instruments logistics feedback loops and facilitators that could make engagement meaningful and  actionoriented,SDG4
 2017 Analysis of the SDGs’   Relevance for the Czech Republic Centrum pro otázky životního prostředí   Univerzity Karlovy Prague,SDG3
 It also defines intentions of forest management conservation and  development and incorporates issues of deforestation local communities value addition  and adoption of forestry as a viable landuse option,SDG4
 Without a strong and  efficient United Nations there can be no solution to global problems,SDG15
 The level of response at this survey is 97,SDG6
                                                  AlbaniaRIO20 report FINAL   A new path for the sustainable development a green economy  for Albania  Stock taking Albanian Rio  20 Report                                                                                                             1       Tirana 10 June 2012  Table of Contents  ,SDG4
 As soon  as a 25th signatory ratifies the agreement the PSM will  become operational,SDG4
 Developing policies and procedures for the effective functioning of the   network  membership recruitment outreach project development etc,SDG4
7 By 2030 increase the economic benefits to Small Island developing States and least  developed countries from the sustainable use of marine resources including through sustainable  management of fisheries aquaculture and tourism           61     14,SDG14
org 01012015 – 31122017 – emphasis on Goal  4 4,SDG16
4 has not yet been   mainstreamed into current policies,SDG12
a is another area of attention for   example through support for improving the quality of in digenous products,SDG15
 2   Pr ev  al en  ce  o  f m od  er at  e  or    se  ve re   fo od   in se  cu rit  y  in   th e   po pu  la tio  n  b  as ed   o n   th e   Fo od    In  se cu  rit y   Ex pe  rie nc  e  Sc  al e   F IE  S    Ye s   da ta   fr om   P an  el    an d   ho us  eh ol  d  a  gr ic   c an   b e   us ed   to  d  er iv  ed    th is   in di  ca to  r   Ca n   be  d  er iv  ed    Re du  ce  c  hi ld   S tu  nt in  g  as   a    pe rc  en ta  ge  o  f u nd  er  fi  ve s   fr om   3 1   to  2  5                           En  ha nc  e  co  ns um  pt io  n  of    di  ve rs  e  di  et s   at  h  ou se  ho ld    le  ve l   2,SDG17
5 Analysis of the HLPF 2016 Theme ‘Ensuring that no one is left behind’   Introduction   Empowering people is an essential and crosscutting element of all SDGs in that vein and in   accordance with the Egyptian constitution 18   the Government of Egypt has adopted a   comprehensive approach to ensure full inclusion of all citizens irrespective of gender social   class location ability or migrant status,SDG4
  environment and development migration and development and security and  development,SDG10
 A foodwaste roundtable comprised of representatives of different ministries  meets in order to find solutions geared to the prevention of food waste,SDG12
 In order to   involve the people of Montenegro and give them the opportunity to describe “what   kind of Montenegro and what kind of world they want to live in” the UN system in   Montenegro in cooperation with Ministry of Sustainable Development and   Tourism and Ministry of Foreign Affairs and European Integrations has created a   broad platform for communication with the purpose of collecting people’s ideas   and hence helping world leaders create a new global development agenda after   2015,SDG5
   Democratic participation through inclusiveness and the empowerment of citizens is integrated   into decisionmaking implementation and followup at local level,SDG16
 Methodology and process for preparation of the review  	2,SDG10
 The DPL will contribute to the growing of fishing stock in surrounding  areas,SDG12
    The target of the EU is to reduce the amount of emissions by 20 by 2020 as compared to 1990,SDG10
0  2009 2010 2011 2012 2013 2014 2015 2016  State debt  GDP Net FDI  GDP  Current Account Balance  GDP          137   governments respecting the principle of fairness transparency efficiency and   effectiveness of the tax system,SDG17
 The recently adopted   Walloon 12 and Flemish 13 policies in this respect aim to   ensure a 100 sustainable public procurement  by 2020   12,SDG16
   New indicators were published in 2006 as part of the revised sustainable  development strategy,SDG2
 This would make  it much easier to allocate adequate resources to Ministries Agencies in their  respective annual budgets for sector specific projects and initiatives,SDG17
    The main instruments of Norwegian climate policy are taxes and participation in the EU   emissions trading system ETS which are crosssectoral economic instruments,SDG17
    In the last few years the subject of food waste has received more attention,SDG9
 Eradicate poverty in all its forms everywhere    Estonias goals and the situation in general     Although Estonia poverty differs from that in developing countries the reduction of poverty and  the problems accompanying it are among the priorities of the Governments action programme,SDG15
 Some baseline indicators are specifically presented in the NSSD   section dedicated to the analysis of key unsustainable trends applying the DPSIR   methodology,SDG12
   The Czech Republic scores below the EU28 average in material productivity   and as a result of the high proportion of industry in the economy shows   aboveaverage results in energy demand leading to higher greenhouse   emissions per GDP unit,SDG17
   The methods and preliminary results presented below were produced by the  research team the content of the text does not necessarily represent the  Government’s views,SDG4
  Source Statistics Belgium Eurostat 2017 Causes of death  codes hlthcdacdr hlthcdacdr2 last consulted 252017,SDG4
3  Proportion of population subjected to  physical psychological or sexual  violence in the previous 12 months   Percent  16,SDG5
fi  ISBN print 9789522872777   Confidentiality rating Public  ISBN PDF 9789522872784  Keywords the 2030 Agenda for Sustainable Development United Nations Agenda 2030 SDGs  Publisher Prime Minister’s Office  Printed by   Lönnberg Print  Promo Helsinki 2016  Layout Government Administration  Unit Publications  Name of series and number of publication  Prime Minister’s Office Publications 102016  Number of pages 68  Language English  ISSN print 07826028    4    5  CONTENTS  OPENING STATEMENT BY THE PRIME MINISTER  ,SDG4
 One central factor in this is ensuring that all people have access to affordable health care of an acceptable standard universal health coverage  or UHC,SDG4
37 however this rate increases every year along with the   development of technology in the ICT field,SDG12
1    Pr  ev en  t a nd   si gn  ifi ca  nt ly   re du  ce    m ar  in e   po llu  tio n   of  a  ll  ki  nd s    pa  rt ic  ul ar  ly  fr  om  la  nd b  as ed    ac  tiv iti  es  i  nc lu  di ng   m ar  in e   de br  is    an d   nu tr  ie nt   p ol  lu tio  n   14 ,SDG3
3  Number of countries with a national  statistical plan that is fully funded  and under implementation by source  of funding   Number KNBS SP  GoK   KNBS SP GoK KNBS SP GoK KNBS Strategic  Plan 20132017  funded fully by  Government   17 17,SDG4
   2 Community empowerment including knowledge increased is one of the  key factor to achieve food and nutrition development Goal,SDG10
 NSSD is also based on the United Nations Millennium                                                               7 httpunstats,SDG6
  It is intended to demonstrate Malaysia’s   commitment to achieve the new global   agenda and to inspire others,SDG5
 Henceforth Switzerland will report regularly  to the UN on its progress with the implementation  of the 2030 Agenda,SDG14
  ODD 12 RESPONSIBLE CONSUMPTION AND PRODUCTION,SDG8
b    Foster transparency inclusive and nondiscriminatory international trade   improvement of the access to market for less developed and insufficiently   competitive countries through greater access to credits guarantees   insurance factoring and innovative financial instruments including the ones   for  micro small and mediumsize enterprises also in the framework of this   measure it is necessary to foster regional trade and interconnectivity SDG   10 10,SDG8
 The review of the Bill by the  Health Committee is currently in its final stages,SDG10
 The NSS relies mainly on Surveys and Censuses to furnish its statistics   needs however these are not often conducted regularly due to resource constraints so as to   provide uptodate information,SDG4
          54     Indicators are the forest area as a proportion of total land area the progress towards sustainable  forest management and the percentage of protected areas,SDG6
 As the result of these policies almost 60  recycling enterprises currently operate in the country,SDG15
 This framework is very important to ensure  that new laws in Albania are compatible with the principles of sustainable  development,SDG15
 Transnational and transborder crime and networks,SDG16
 Micro credit for fishery sector has been increased with an average of   10 annually during 20122016,SDG4
 By defining clear priorities in its development cooperation and in various   international forums and processes Norway supports the improvement of women’s and girls’   living conditions and rights all over the world,SDG10
 The overview is based on the comparative analysis done in spring 2016 on the goals  of Agenda 2030 and the policies of the Estonian Government,SDG16
 Ensure sustainable consumption and production  patterns      Estonias goals and the situation in general     One of the aims of the Government Action Plan is a more productive sustainable and effective use  of local resources,SDG15
 The Law has put a lot of emphasis  on community responsibility as well as that of local level public officials to actively prevent  child marriages,SDG5
 On March 24 2017   the federal Council of Ministers approved the draft law on   the ‘socket at sea’ for offshore wind farms 7,SDG8
 They also aim to comprehensively address  the endtoend needs of the people and the nation as  follows ,SDG2
 This seminar was a   powerful demonstration of the active and crucial engagement of the Norwegian business   community in the implementation of the SDGs,SDG4
  One of the  main principles of the 10th Development Plan is sustainable development and  the Plan is based on a “humancentered development” approach,SDG17
1  Overall trends in the enabling environment for inclusive development ,SDG10
  5  M  ai nt  ai n   ge ne  tic  d  iv er  si ty   o f   se ed  s  cu  lti va  te d   pl an  ts  f  ar m  ed    an d   do m  es tic  at ed   a ni  m al  s  an  d  th  ei r r  el at  ed  w  ild  s  pe ci  es    in cl  ud in  g  th  ro ug  h  so  un dl  y  m  an ag  ed  a  nd  d  iv er  si fie  d  se  ed  a  nd    pl an  t b an  ks  a  t n at  io na  l  re  gi on  al    an d   in te  rn at  io na  l l ev  el s   a nd    en  su re   a cc  es s t  o  an  d  fa  ir  an  d  eq  ui ta  bl e   sh ar  in g   of  b  en ef  its    ar is  in g   fr om   th e   ut ili  za tio  n  of    ge  ne tic   re so  ur ce  s  an  d  as  so ci  at ed    tr  ad iti  on al   k no  w le  dg e   as    in te  rn at  io na  lly  a  gr ee  d   2,SDG17
       The way ahead   Germany can build on existing experience in many of the areas mentioned above,SDG15
   Committed to contributing to the achievement of the SDGs the Feder al Government worked on the planning and preparation of the necessary   bases for their realization,SDG10
 The government statistics system should          11   be able to produce just over half of the indicators given or comparable definition in the  short to medium term,SDG17
 The horizontal intersectoral linkages and   linkage with the highlevel committees in planning budgeting and investment programming and   vertical linkages among national subnational and local levels coordination of the proposed oversight   committee with other institutionsmechanisms will have to be clarified,SDG17
    In the education sector it is important to note that the election manifesto of the current   administration makes specific provisions for improving access to and quality of education,SDG4
  According to the Trend EPI Albania has improved by 16 points over the last  decade ranking 4th among the “strongest performers” of the world,SDG4
 In 2016 the Call 180   Hotline dealt with more than 1 million calls,SDG5
 The UN in Zimbabwe also  supported a training of trainers on SDGs for 120 young people to empower them to  mobilise themselves and take up proactive initiatives towards achieving SDGs,SDG11
 Many of the policies and measures in this Environment  Strategy are supported by the programs of action set out in sector  strategies such as water energy and agriculture,SDG1
 It deviates   from the recommended structure slightly by combining two sections policy and enabling   environment and next steps and institutional mechanisms and means of implementation,SDG3
 The government at   the same time places greater importance than ever before   on the quality and transparency of our aid flows and on   achieving results,SDG8
 Scale up productive agricultural practices that maintain ecosystems and strengthen capacity for adaptation to   climate change   ,SDG9
         40                 STRATEGIC FOCUSES      ,SDG15
 Ownership requires that a country has sufficient support  among stakeholders within and outside of the government  to build the institutional capacity required for defining and  implementing a national development strategy,SDG9
 Getting Started with Sustainable Development Goals A Guide for Stakeholders   Sustainable Development Solutions Network 2015,SDG16
           71   sustainable national development,SDG1
 The National Health and Environment Action   Plan 20092017 focuses inter alia on human biomoni toring in the context of EU research on actual exposure   of citizens to chemicals and the possible health effects   training for environmental health professionals ozone   and particulate matter presence of exotic mosquitos and   persistent organic pollutants POPs in human milk,SDG4
   Uganda has set national objectives to be achieved by 2030 in order to increase access efficiency   and sustainability of energy,SDG15
 The Council is supported by a National   Steering Committee NSC chaired by the Director   General of the EPU as illustrated in Figure 13,SDG5
 The general election for the 222 members of   the Lower House must be held every five years,SDG11
 In  20162017 Financial year the government allocated Kshs 68,SDG5
 In practice the contents of sustainable  development will be determined by the measures taken by various actors,SDG15
 This is particularly   important in the light of the centrality of   ensuring responsible use of natural   resources to ensure sustainable   development,SDG17
 Meanwhile   according to Riskesdas is if children at the age of 1223 months have obtained all types of immunization   namely one time HB0 one time BCG three times DPTHB four times polio and one time measles   immunization,SDG3
    The review presents the results of a preliminary analysis and mapping exercise on Cyprus’ current  progress identifies challenges and outlines next steps,SDG17
 Cyprus’ international activity in promoting SDG implementation is  also described,SDG1
   NEDA Implementing and   oversight government   agencies civil society   organizations CSOs   academe development   partners M  E   practitioners   Children’s Rights and   SDGs in the   Philippines   To acquaint CSOs in the   child rights sector on the   SDGs build capacity of   CSOs to advocate for   child protection using the   SDG framework    Visayan Forum   NGO   Government NGOs   development partners   Food and Nutrition   Security in the Next   Government   To identify food security   concerns that may be   included in the next   legislative agenda    Philippine   Legislators’   Committee on   Population and   Development   PLCPD   National and local   government NGOs   academe House of   Representatives technical   staff   RTD Discussion on   Integrating Sexual and   Reproductive Health   and Rights SRHR in   SDGs   To discuss issues and   challenges on SRHR related SDG targets and   indicators    Likhaan Center for   Women’s Health   National government   CSOs academe   development partner   agencies   Workshop on   MigrationRelated   SDGs   To identify the specific   indicators for migration related provisionstargets   of the SDGs   Center for Migrant   Advocacy   National government   CSOs development partner   agencies   Technical Workshop   on the SDG Indicators   To assess data of the   global SDG indicators   PSA NEDA and   UNDP   Government agencies   NGOs private and business     9      provide proxy indicators   and identify additional   indicators   sectors academe UN   Country team      With the country currently in transition to a new administration this is an opportune time to converse   with the newly elected leaders on the national development priorities and the SDGs,SDG5
 It is a longlasting process   that implies the application of complex accountability mechanisms and the   establishment of partnerships primarily with the UN system,SDG4
 Through WPP   catching areas is also to realize joint management based on common property   and to develop Ecosystem Approach to Fisheries Management EAFM,SDG4
 Until these units are established planning units in different   ministries and governmental bodies are mandated with the responsibility to integrate the three   dimensions of sustainable development in the planning process particularly in investment   plans 15  ,SDG12
   Belgium has been at the very cuttingedge of pharmaceu tical innovation for over 150 years,SDG11
25 per capitaday World Bank was   around 8,SDG7
 The network is also open to all subsidiaries of multinationals that are   participants of the Global Compact but not necessarily signatories in Egypt,SDG2
4    Measures and submeasures defined within the framework of the NSSD 2030   strategic goals “Improve resource efficiency in key economic sectors”   “Achieve more balanced socioeconomic development of all local self government units and regions based on competitiveness innovation   and employment with special emphasis on the development of Northern   Region” create the assumption for the implementation of the sustainable   development target 10,SDG11
 The objectives of these projects are increasing the   supply of power stabilizing the national grid and promoting the use of renewable energy   thereby promoting socioeconomic development and mitigating climate change as well as   an indirect but noteworthy impact on employment creation,SDG4
 It should also be noted that in the context of the relationship between the Bank of Portugal and   their counterparts in developing countries the annual Cooperation Plan sponsors meetings dedicated to the   issues of inclusion and financial training,SDG8
    11  At the same time existing mechanisms for fostering policy coherence for sustainable development at the federal level will be strengthened,SDG2
 Strengthening  the feedback loop between this growing base of evidence and the formulation of genderrelated policies  and budget decisions is next up on the agenda of many governments,SDG12
 Ensure availability and sustainable management of  water and sanitation for all      Estonias goals and the situation in general     The goal of the Government is to guarantee every citizen access to highquality clean drinking  water at an acceptable price,SDG11
  child care services longterm social care services to the elderly and persons with disabilities  counselling services,SDG8
   Norway has contributed financially and with expertise to the establishment of the 10year   framework of programmes on sustainable consumption and production patterns 10YFP and     20  P a g e      continues to follow the programmes on sustainable lifestyles and education and sustainable   public procurement,SDG4
8  100  yearly growth in major agrofood commodities between   2011–2016  selfsufficiency level SSL reached for paddy 2015  SSL reached for vegetables 2015  SSL reached for fruits 2015  SSL reached for poultry and eggs 2015  13018  205,SDG3
 The BMI  is the weight of a person in kg divided by the square of its  height in meters,SDG5
   For the consolidation of the innovation system updates will be neces sary such as investing in big science and in open research infrastruc tures increase public investment in resultsoriented RD interna tionalize Brazilian science with a greater flow of people and ideas,SDG4
 Results from multivariate analysis of monitoring data including fixed effects for countries and development partners,SDG17
 The Implementation Team is also   supported by the Expert Team that provides substantive recommendations and   consists of experts andor professionals in the relevant field to SDGs   implementation in Indonesia,SDG12
4 Further development of forms of allocated use of funds for   environmental protection from the public sector and through partnerships   with local and international private and public sources SDG 17 17,SDG14
   The international student organisation AIESEC is organising a sixweek project the purpose of  which is to find solutions to the problems of drug and alcohol abuse and promote healthy lifestyles  in the local communities,SDG4
pdf      55     On promoting peaceful societies the primary concern of the government of the Republic of  Cyprus is no other than ending the Turkish illegal military occupation of approximately 37 of its  territory and all the consequences of the island’s subsequent forceful division,SDG8
 The strategic framework outlined in the document is   designed to serve as an overarching mechanism for sectoral strategies   implementing sustainable development goals at the national and regional   level,SDG14
    Addressing the responsible use and protection of oceans and marine environments is   particularly pressing,SDG8
 The Fourth Master Plan for Women’s Policy  ,SDG12
 Governance is   therefore just as important a topic as the role of subnational and nonstate   actors,SDG2
 The Subcommittee on International   Migration and Development SCIMD also under the SDC has discussed migrationrelated targets   and indicators for the SDGs,SDG17
 Finally CSR activity is well on its way and expected to increase from the government side  but also from the private sector,SDG12
  Conduct broad public administration reforms  in parallel to strengthening of country systems  to ensure effective transformation,SDG2
  There is a strong interest in engaging in publicprivate dialogue with issues of common interest and mutual  benefit – such as education gaps professional skills development and mitigating exogenous impacts from  the globalised economy – offering an important entry point for productive dialogue,SDG9
 An Exit Survey was completed after the finalisation of the 2016 monitoring round,SDG4
 However gender   equality nonmedical determinants of health emissions of hazardous   substances harmful use of alcohol and tobacco as well as quality of earnings   and lifelong learning opportunities are still far from the 2030 aspirations,SDG3
 For that the Government has decided to increase the  subsistence level which is the basis for calculating social benefits,SDG11
 Switzerland maintains a high level of health protection and contin ues to combat communicable diseases effectively,SDG3
 It aims at ensuring  the rational and sustainable use of land and natural resources,SDG15
 At present the third national communication report is finalized and awaiting   promulgation,SDG17
  Cause of deaths based on the   Sample Registration System SRS of 2014 which was carried out in 128   districts are low birth weight 38,SDG3
    We have incorporated the principle of “leaving no one behind” at the core of our efforts,SDG10
 Based on   experimental research in eight countries on three diffe rent continents this work aims to recognize and redis tribute care tasks better among men and women and is   part of the “Women at Work” ILO Centenary Initiative,SDG11
 Basic education is the compulsory minimum for general education  and it is available in primary schools grades 16 secondary school grades 19 or in a  gymnasium which provides primary school education,SDG4
  The Government itself has recognised the gravity of the   Stock taking Albanian Rio  20 Report                                                                                                             21       situation and has proclaimed a “clean Albania” as a national priority also by  acting itself on the ground by assigning the 20th of April as the National Day of  Cleaning,SDG4
 Increase access to improved sanitation in rural and urban areas   ,SDG6
  Third generational rights include language culture and environmental rights,SDG5
 The grassroots and County consultative  forums and National Consultative fora will serve as avenues to obtain consensus on the MTP  III priorities strategies programmes and projects,SDG4
  Regarding the health and environment nexus a coherent   approach is ensured through the Joint InterMinisterial   Conference on Environment and Health JICEH bringing   together the responsible ministers from the three levels of   government,SDG4
 Development cooperation and joint assessments can also  support developing countries’ own capacity to monitor and assess sustainable  development,SDG14
 Two types of certifications are awarded namely a  the “Equality Employer” certification to companies that implement comprehensive policies to  promote gender equality and b the “Best Practice” certification to companies that apply best  practices promoting gender equality,SDG2
 The   quality improvement and railways rehabilitation during 2011 to 2015 was   increased by 95 from 1834  3567 km,SDG9
    Goal 6 – Ensure availability and sustainable management of water and sanitation for all    In Norway there is universal access to safe and affordable drinking water adequate and   equitable sanitation and sewerage for all,SDG17
   In terms of regional commitments Portugal is involved in the fulfilment of the Europe 2020 Strategy   promoting sustainable and inclusive growth in order to achieve a 75 employment rate and reduce early   school absenteeism rate to 10 but also from the perspective of the CountrySpecific Recommendations   made to Portugal in particular those related to the activation of the longterm unemployed and enhanced   coordination among employment and social services as well as the strengthening of incentives for permanent   contracts,SDG3
 Further tweaks to the health care system   are foreseen and indeed necessary in order to improve   the general population’s state of health and the chron ically ill’s specifically,SDG8
 This is why the NSSD defines as mandatory professional   development of teaching staff of all levels the application of contemporary   teaching practices access to early education as well as the inclusion of children   from the most vulnerable groups and children with special educational needs   establishing active cooperation with parents and the local community and   securing higher standards of working and learning conditions,SDG11
30 million   tons in 2014 the level which is still below the allowable fish catchment,SDG14
6    Enable resource efficient use of water resources SDG 11 11,SDG6
    In 20162020 Estonia will continue similar bilateral cooperation with the partner countries in  particular in the field of egovernance  and ICT,SDG9
 The pillar of Girls’ Right to Health aims to support healthy schools for  girls and promote youthfriendly community health services,SDG3
 Moreover in over 20 of the reporting countries certain  civil society organisations are marginalised by laws and regulations that fail to support them or to recognise their  rights,SDG11
 Hence attaining sufficient funds required for data collection through domestic   resources remains a huge challenge,SDG17
 participation of multiple stakeholders to strengthen accountability  ,SDG16
 The   Helpline was established as a medium through which children abused and seeking different   forms of help could report and be helped,SDG4
4 Integration of the three dimensionsof sustainable development 	2,SDG7
      3      Cyprus imports from developing countries       billion EUR      08      07      07      05      05      n,SDG3
   The UN Convention on the Law of the Sea and other agreements to ensure wellregulated and   responsible marine resource management are of fundamental importance in this regard,SDG2
